Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
200,Exit long,2026-08-27 11:10,HSL,29675.75,2,118564,136.92,0.12,2.08,147.96,0.12,-17.04,-0.01,18058.84,1.81,6
200,Entry long,2026-08-27 10:40,L,29641,2,118564,136.92,0.12,2.08,147.96,0.12,-17.04,-0.01,18058.84,1.81,6
201,Exit long,2026-08-27 20:05,HSL,29695.75,3,178147.5,23.88,0.01,3.12,40.44,0.02,-24.06,-0.01,18082.72,1.81,0
201,Entry long,2026-08-27 20:05,L,29691.25,3,178147.5,23.88,0.01,3.12,40.44,0.02,-24.06,-0.01,18082.72,1.81,0
202,Exit long,2026-08-28 09:40,HSL,29665,2,119190,-532.08,-0.45,2.08,55.96,0.05,-531.04,-0.45,17550.64,1.76,8
202,Entry long,2026-08-28 09:00,L,29797.5,2,119190,-532.08,-0.45,2.08,55.96,0.05,-531.04,-0.45,17550.64,1.76,8
203,Exit short,2026-08-30 17:20,HSS,29394.5,2,117636,55.92,0.05,2.08,66.96,0.06,-31.04,-0.03,17606.56,1.76,1
203,Entry short,2026-08-30 17:15,S,29409,2,117636,55.92,0.05,2.08,66.96,0.06,-31.04,-0.03,17606.56,1.76,1
204,Exit short,2026-08-31 04:00,HSS,29442.5,3,176680.5,22.38,0.01,3.12,38.94,0.02,-61.56,-0.03,17628.94,1.76,2
204,Entry short,2026-08-31 03:50,S,29446.75,3,176680.5,22.38,0.01,3.12,38.94,0.02,-61.56,-0.03,17628.94,1.76,2
